% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:17"
% Dimension,0
% Nodes,7410
% Expressions,9
% Description,"overpot_electrolyte, overpot_electrolyte_ohmic, overpot_electrolyte_concentration, overpot_ct, equilibrium_pot, overpot_rest, Cell potential, Number of cycles, Cell current"
% t,overpot_electrolyte (V),overpot_electrolyte_ohmic (V),overpot_electrolyte_concentration (V),overpot_ct (V),equilibrium_pot (V),overpot_rest (V),liion.cdc1.phis0 (V),liion.cdc1.cycle_counter,liion.cdc1.Icell (A)
3840,-0.11913900735120164,-0.046778083125142166,-0.07236092422605947,-0.05513348783700715,3.6774241626557713,-0.07597695693375123,3.4271747105338113,0,-0.847927232781602
3870,-0.12042418919342873,-0.04728087823989185,-0.07314331095353688,-0.055639173123096825,3.6728019324249757,-0.07603930912547849,3.4206992609829716,0,-0.8479272327816022
3900,-0.12191602308390512,-0.04786976866977676,-0.07404625441412835,-0.05634589820155777,3.668306269748199,-0.07588724032741215,3.414157108135324,0,-0.8479272327816018
3930,-0.12348557640753058,-0.04846029563851468,-0.0750252807690159,-0.05695638490840723,3.6638677741142374,-0.07593243273703032,3.4074933800612692,0,-0.8479272327816018
3960,-0.1251233137639374,-0.049073044323057764,-0.07605026944087964,-0.05786544871828543,3.6595837515764424,-0.07583710682016356,3.400757882274056,0,-0.8479272327816012
3990,-0.1268023879156494,-0.049701710951935096,-0.07710067696371431,-0.05864704499011806,3.6554174505563,-0.07600918896462391,3.393958828685909,0,-0.8479272327816011
4020,-0.1285125977310459,-0.050335307969770815,-0.07817728976127508,-0.05953149213226022,3.6512689552767985,-0.07611852886483217,3.3871063365486602,0,-0.8479272327816032
4050,-0.13022720617533273,-0.05096004240395534,-0.0792671637713774,-0.0604748118519372,3.647160770067257,-0.07630046931497769,3.3801582827250094,0,-0.8479272327816018
4080,-0.13195029547971288,-0.05158584726787442,-0.08036444821183845,-0.061587162600323514,3.6430923162441946,-0.0764909939967742,3.373063864167384,0,-0.8479272327816016
4110,-0.13367539362723377,-0.052210507735383965,-0.0814648858918498,-0.06266555418910547,3.6390066119933615,-0.07674373037789964,3.3659219337991226,0,-0.8479272327816018
4140,-0.13532210551260637,-0.05278749072745499,-0.08253461478515138,-0.06393429696616063,3.6348362231182394,-0.07690730878809524,3.358672511851377,0,-0.8479272327816018
4170,-0.13684606804340996,-0.05330497504520227,-0.0835410929982077,-0.06515084409991155,3.6307214480466286,-0.07731665747515279,3.3514078784281542,0,-0.8479272327816021
4200,-0.1381656235183473,-0.05373158763028285,-0.08443403588806445,-0.0666233309906851,3.6266465058925323,-0.07768697275916564,3.3441705786243343,0,-0.8479272327816016
4230,-0.1391856225622069,-0.0540421737120105,-0.0851434488501964,-0.06791933809059097,3.6224379940469986,-0.0783295147226562,3.3370035186715445,0,-0.8479272327816018
4260,-0.13991441828904583,-0.0542469726477807,-0.08566744564126513,-0.06940979720500262,3.6182009383422487,-0.07904304323950795,3.3298336796086923,0,-0.8479272327816021
4290,-0.14032392009667413,-0.05433631173390764,-0.08598760836276649,-0.07086128771069902,3.613862522078669,-0.08002400776470509,3.3226533065065906,0,-0.8479272327816012
4320,-0.14031484372069183,-0.054269651439157185,-0.08604519228153465,-0.07228412834397616,3.6094472829894446,-0.08142532272554365,3.315422988199233,0,-0.8479272327816013
4350,-0.13989590458810502,-0.05406814749241563,-0.08582775709568939,-0.07361641405424793,3.6049664501016205,-0.08332945425406293,3.3081246772052046,0,-0.8479272327816015
